id;app_id;app_name;acronym;app_type;app_manager;org_name;team_email;team_location;production_support_dl
1;6237;Agent intermediate;Jewelery Southeast;inborn homogeneous;possimus overriding corps;Bicycle quantifying;Gasoline Dynamic;blockchains;SUV
2;12154;radian Liaison;Kerluke Electronic;Sharable Avon Sydnee;drive inconsequential;Hybrid;Strategist;newton Marketing;Corporate Practical South
3;32723;Zloty Sleek;embellished scale Administrator;hm Southeast;Honda Northeast;impedit Legacy;Electronics;Bicycle SUV;sunt Coupe Cisgender
4;29900;Checking Hyundai productivity;Assistant South;programming;Silver pawn blue;Sleek Solutions;Intranet gee Funk;Incredible Blues;whereas South interactive
5;6221;Oriental;Fantastic;World;Rustic Universal spouse;man orchid Intelligent;yellow Northeast connecting;Games;disintermediate
6;1004;Strategist;Plastic plum Northeast;Tristian;Bike Rover busily;Paradigm male haptic;Jazz villa Garden;Bedfordshire Nitrogen Home;South
7;14277;Investment Avon;Buckinghamshire late quirkily;wait payment optio;Guinea;Borders Astatine;lux repellat;Sudan Electric;Principal ut Hybrid
8;11845;Tunnel Gender Neither;quickly;Bedfordshire Avon invoice;Northeast wherever Avon;kiddingly Incredible at;Buckinghamshire Minnesota;Female worriedly;farad quantify
9;15318;Folding lest;quam yearly;parched Leone;stumble frizzy overriding;Implementation Pickup;katal superstructure strategize;hm;salmon
10;27594;socialism recontextualize;Borders orchestrate;indexing Polestar;policy Gasoline;leverage Frozen;bafflement up ha;Bicycle calculate;system Tuna Soft
