id;audit_id;deploy_id;deploy_former_status;deployed_status;deployed_operation_type;action_performed_role;action_performed_by
1;21654;29965;nulla Automotive Astatine;engineer;Sleek;duh circular matrix;orchestration
2;31400;12844;Pizza Outdoors;ham;strategic Berkshire Thallium;Woman;Configuration West
3;13458;14905;compressing;Toys;afore coolly digital;Kina Nauru Optimization;silver Buckinghamshire
4;9468;5744;Electric Dollar Missouri;proactive Executive abaft;East invoice including;Passenger Investor;Metal Granite Music
5;23827;29000;Transmasculine;connecting Cambridgeshire Electronic;Industrial;Baby Bronze;Metal hertz ad
6;26814;995;sophomore World program;Ridge Proactive;Engineer quantifying streamline;Supervisor;Royce Diesel program
7;21786;21510;Bacon Hybrid warm;Ergonomic;ugh;Borders;quod Southwest Hawaii
8;12197;2253;gold;Darmstadtium Associate Iowa;female properly West;impractical connect;West Kuphal
9;28511;6246;Southwest;Metal;fuga North;array;Southeast male female
10;14164;1272;Assurance back mmm;Cedi;atop Incredible;Central mmm copying;Van Checking
